clust_num	RF_parameters	accuracy	precision	recall	f1	support	conf_matrix
cluster_0	RandomForestClassifier(min_samples_split=10, n_estimators=1000)	0.9913793103448276	0.9908256880733946	1.0	0.9953917050691244	108.0	"[[108   0]
 [  1   7]]"
cluster_0	RandomForestClassifier(min_samples_split=10, n_estimators=1000)	0.9913793103448276	1.0	0.875	0.9333333333333333	8.0	"[[108   0]
 [  1   7]]"
cluster_1	"RandomForestClassifier(class_weight='balanced', min_samples_leaf=2,
                       min_samples_split=5, n_estimators=1000)"	0.9605263157894737	0.9777777777777777	0.9565217391304348	0.967032967032967	46.0	"[[44  2]
 [ 1 29]]"
cluster_1	"RandomForestClassifier(class_weight='balanced', min_samples_leaf=2,
                       min_samples_split=5, n_estimators=1000)"	0.9605263157894737	0.9354838709677419	0.9666666666666667	0.9508196721311475	30.0	"[[44  2]
 [ 1 29]]"
cluster_2	RandomForestClassifier(max_depth=5, max_features='log2', n_estimators=5000)	0.5818181818181818	0.5818181818181818	1.0	0.735632183908046	32.0	"[[32  0]
 [23  0]]"
cluster_2	RandomForestClassifier(max_depth=5, max_features='log2', n_estimators=5000)	0.5818181818181818	0.0	0.0	0.0	23.0	"[[32  0]
 [23  0]]"
cluster_3	"RandomForestClassifier(class_weight='balanced', max_depth=10,
                       min_samples_split=5, n_estimators=1000)"	1.0	1.0	1.0	1.0	5.0	"[[5 0]
 [0 9]]"
cluster_3	"RandomForestClassifier(class_weight='balanced', max_depth=10,
                       min_samples_split=5, n_estimators=1000)"	1.0	1.0	1.0	1.0	9.0	"[[5 0]
 [0 9]]"
cluster_mixed_model	RandomForestClassifier(min_samples_split=10, n_estimators=5000)	0.8833333333333333	0.825	1.0	0.9041095890410958	33.0	"[[33  0]
 [ 7 20]]"
cluster_mixed_model	RandomForestClassifier(min_samples_split=10, n_estimators=5000)	0.8833333333333333	1.0	0.7407407407407407	0.851063829787234	27.0	"[[33  0]
 [ 7 20]]"
cluster_combi_model	"RandomForestClassifier(max_features='log2', min_samples_split=5,
                       n_estimators=1000)"	0.8490566037735849	0.8508064516129032	0.9504504504504504	0.8978723404255319	222.0	"[[211  11]
 [ 37  59]]"
cluster_combi_model	"RandomForestClassifier(max_features='log2', min_samples_split=5,
                       n_estimators=1000)"	0.8490566037735849	0.8428571428571429	0.6145833333333334	0.7108433734939759	96.0	"[[211  11]
 [ 37  59]]"
cluster_0_1_mixed	"RandomForestClassifier(max_features='log2', min_samples_split=5,
                       n_estimators=5000)"	0.9282868525896414	0.9246231155778895	0.983957219251337	0.9533678756476683	187.0	"[[184   3]
 [ 15  49]]"
cluster_0_1_mixed	"RandomForestClassifier(max_features='log2', min_samples_split=5,
                       n_estimators=5000)"	0.9282868525896414	0.9423076923076923	0.765625	0.8448275862068966	64.0	"[[184   3]
 [ 15  49]]"
